SD_SUB_SYSTEM,Discipline_Name,ITEM_Tag_NO,ITEM_Type_Code,HP_Priority,HP_Description,HP_Location
TEL-11,EL,00-CAM-01,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-02,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-03,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-04,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-05,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-06,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-07,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-08,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-09,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-10,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-11,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-12,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-13,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-14,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-15,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-16,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-17,CCTV,,Hold (Matrial Shortage),Material Shortage
TEL-11,EL,00-CAM-18,CCTV,,Hold (Matrial Shortage),Material Shortage
LS-02,EL,00-ELP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-02,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
120-14,EL,00-HTP-03,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-LP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-RP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
LS-01,EL,00-SLP-01,PANEL(EL),,Hold (Matrial Shortage),Material Shortage
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0002TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0003TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0004TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0006TN|HOLD MATERIAL|ORF-900.RT-4,HOLD MATERIAL
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0007TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0008TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-23-882,PI_TP,,ISO-14128 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0004TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45050 0009TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45051 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45051 0013ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45052 0011TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45052 0014ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45053 0011TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45053 0014ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45123 0018TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45124 0017TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45124 0021TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45125 0029TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45125 0033TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45126 0017TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45126 0020ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0010TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0013ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0013TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0018TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0021ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRC-24-914,PI_TP,,ISO-45127 0021TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-PRG-01-382,PI_TP,,ISO-14088  B7-2H-GALV-1.5/8x270   20PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-PRG-02-842,PI_TP,,ISO-14087  B7-2H-GALV-1.5/8x270   20PCS,MATERIAL SHORTAGE
1000-03,PI,1000-03-VA-01-447,PI_TP,,ISO-45140 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-VA-01-447,PI_TP,,ISO-45141 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-VA-02-674,PI_TP,,ISO-45142 0001ATN|TIE IN JOINT,HOLD SEQ. REAINSTATE
1000-03,PI,1000-03-VA-02-674,PI_TP,,ISO-45142 0001TN|TIE IN JOINT,HOLD SEQ. REAINSTATE
2000-01,PI,2000-01-PRG-04-942,PI_TP,,ISO-50010  B7-2H-1.1/4x466   20PCS,MATERIAL SHORTAGE
2000-02,PI,2000-02-LPC-01-937,PI_TP,,LPC-20-101 0016|HOLD REAINSTATMENT|PUNCH C,HOLD SEQ.
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0001|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0002|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0003|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0004|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0005|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0006|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0007|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0008|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0009|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0010|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0011|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0012|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0013|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0014|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0015|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0016|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0017|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0018|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0019|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0020|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0021|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0022|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0023|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0024|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48067 0025|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0001|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0002|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0003|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0004|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0005|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0006|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0007|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0008|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0009|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0010|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0011|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0012|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0013|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0014|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0015|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0016|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0017|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0018|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0019|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0020|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0021|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0022|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0023|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0024|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-HPC-04-1000,PI_TP,,ISO-48068 0025|AFC( WITH HOLD )|AFC HOLD,ISO HOLD
2000-03,PI,2000-03-PDT-04-549,PI_TP,,PDT-2283 0062|HOLD MATERIAL|1.1/2 PIPE INCONEL600,HOLD MATERIAL
2000-03,PI,2000-03-PDT-04-549,PI_TP,,PDT-2283 0063|HOLD MATERIAL|1.1/2 PIPE INCONEL600,HOLD MATERIAL
2000-03,PI,2000-03-PDT-04-549,PI_TP,,PDT-2283 0064|HOLD MATERIAL|1.1/2 PIPE INCONEL600,HOLD MATERIAL
2000-03,PI,2000-03-PDT-04-549,PI_TP,,PDT-2283 0065|HOLD MATERIAL|1.1/2 PIPE INCONEL600,HOLD MATERIAL
2000-03,PI,2000-03-PDT-04-549,PI_TP,,PDT-2283 0066|HOLD MATERIAL|1.1/2 PIPE INCONEL600,HOLD MATERIAL
